numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
1,James Richardson-Patel,Alexandra Williams,KEBE17609492220843,0,0.252448306,0.0,2015-12-10T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,50000.0,,,,,,,,,,1766880.0,0.0,12.0,0.0,2003.0,Acima de 17 anos,90000.0,False,True,1.0,43200.0,2020-02-03T20:57:33
2,Dr. Geoffrey Walsh,Mr. Darren Arnold,JRBK88908250677300,0,0.0,,2019-06-12T17:28:31,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
3,Joanna Hudson,Dr. David Rees,GCVQ28531614261293,4,0.6247772648,0.0,2019-11-27T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,,,,,,,,,2814940.0,0.0,7.0,0.0,2014.0,De 6 a 10 anos,20000.0,False,True,1.0,4320.0,2020-02-04T16:40:49
4,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0.0,,2017-02-13T17:20:27,0,0.0,25000.0,AprovadoAnalista,De 51 a 80 % - Alto,0.3962264150943396,0.6037735849056604,0.485811098701238,15000.0,,,,,,,,,,1285274.0,0.0,12.0,0.0,2013.0,De 6 a 10 anos,30000.0,False,True,0.0,5920.0,2020-02-04T16:37:52
5,Nigel Lee,Dr. Stanley Duncan,CGQN15826802440348,20,0.4540878993,0.0,2010-07-13T00:00:00,20,1486.95,50000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,50000.0,,2019-09-30T00:00:00,14758917.0,12149031.0,25793410.0,14544378.0,3039112.0,11797928.0,3047791.0,40779757.0,81459809.0,9.0,40680051.0,2002.0,Acima de 17 anos,75000.0,False,False,1.0,89000.0,2020-02-04T15:06:28
6,Liam Jackson,Gerard Gordon,KAYS53232027306925,0,0.0,,2019-06-28T10:25:57,0,0.0,25000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6226415094339622,0.3773584905660377,0.0,20000.0,,,,,,,,,,918476.0,0.0,12.0,0.0,2011.0,De 6 a 10 anos,15000.0,False,True,0.0,38400.0,2020-02-04T15:10:46
7,Alexander Baker-Wells,Dr. Caroline Ali,PYOL43118620147076,16,0.0,,2011-03-02T11:27:13,0,0.0,100000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-0.997517069602544,80000.0,,,,,,,,,,239016696.0,-7540544.0,12.0,156394112.0,1982.0,Acima de 17 anos,30515674.0,True,False,0.0,18132588.0,2020-02-05T14:31:22
8,Jean Berry,Gregory Gould,NLUX93496216176463,4,0.3501754325,0.0,2007-07-02T00:00:00,102,208980.0,300000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,300000.0,,2019-09-30T03:00:00,17801610.0,2538069.0,19415777.0,7519758.0,0.0,3742963.0,11902384.0,11958227.0,9357949.0,9.0,0.0,2000.0,Acima de 17 anos,120000.0,False,False,1.0,768233.0,2020-02-05T20:05:40
9,Elliot Stephenson,Adrian Graham,LOVL82962402474134,43,0.2458177861,0.0,2006-07-10T00:00:00,27,6432.0,400000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.8867924528301886,0.1132075471698113,0.0,400000.0,,2018-12-31T02:00:00,36827690.0,13843198.0,39455945.0,25612746.0,0.0,15980275.0,11420388.0,72479551.0,6233236.0,12.0,-49267738.0,2000.0,Acima de 17 anos,1000000.0,False,False,1.0,6910219.0,2020-02-05T20:07:07
10,Dr. Dale Dawson,Caroline Hale,NXKJ36775578171965,24,1.20858e-05,0.0,2011-02-24T00:00:00,0,22733.33,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.8315898944,,
